Date,Close,High,Low,Open,Volume
03-07-2023,190.8020325,192.2097979,190.1080506,192.1106533,31458200
05-07-2023,189.6817474,191.3175271,188.9778572,189.9196853,46920300
06-07-2023,190.157608,190.3658056,187.5700918,188.2045778,45094300
07-07-2023,189.0373535,191.0102158,188.6011567,189.7610757,46778000
10-07-2023,186.9851837,188.3533003,185.4287015,187.6295781,59922200
11-07-2023,186.4597626,187.6692539,184.9925165,187.5304606,46638100
12-07-2023,188.1351929,190.0485592,186.846389,188.0459567,60750200
13-07-2023,188.8985596,189.5429691,188.1451121,188.8589108,41342300
14-07-2023,189.0472717,189.5330409,187.9964057,188.5912278,41573900
17-07-2023,192.3188324,192.6459913,190.1576047,190.2468257,50520200
18-07-2023,192.0610657,192.6559029,190.7623534,191.6843496,48353800
19-07-2023,193.4192963,196.5223223,190.9903899,191.4365255,80507300
20-07-2023,191.4662628,194.7774863,190.8416852,193.4093697,59581200
21-07-2023,190.2865143,193.2904108,189.582624,192.4279104,71917800
24-07-2023,191.0895233,193.2309193,190.5938306,191.7438413,45377800
25-07-2023,191.9520416,192.7649849,191.2580749,191.6645465,37283200
26-07-2023,192.8244476,193.9546263,191.6546202,192.001596,47471900
27-07-2023,191.5554657,195.5011749,190.8912394,194.3313475,47460200
28-07-2023,194.1430054,194.9361167,192.4675616,192.9929947,48291400
31-07-2023,194.7576447,194.7973085,193.5778937,194.371005,38824100
01-08-2023,193.9248657,195.0352123,193.5977068,194.5494433,35175100
02-08-2023,190.92099,193.4985828,190.1972829,193.3597894,50389300
03-08-2023,189.5231323,190.7127917,189.0472716,189.9196955,61235200
04-08-2023,180.4222107,185.7657767,180.3528065,183.9217995,115799700
07-08-2023,177.3092804,181.5524086,175.8222023,180.5610232,97576100
